Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
1170,RightFinger1Metacarpal,1.5218,1.2971,0.2433,0.4152,-0.2076,0.8145,-0.3480
1170,RightFinger1Proximal,1.5072,1.3218,0.2663,-0.4525,0.2356,-0.8208,0.2570
1170,RightFinger1Distal,1.5014,1.3429,0.2836,0.4496,-0.2340,0.8212,-0.2622
1170,RightFinger1Tip,1.4944,1.3669,0.3034,0.4496,-0.2340,0.8212,-0.2622
1170,RightFinger2Metacarpal,1.5318,1.3038,0.2450,0.1027,-0.0505,-0.9819,0.1507
1170,RightFinger2Proximal,1.5171,1.3524,0.2383,-0.0191,0.5400,-0.8412,0.0213
1170,RightFinger2Medial,1.5165,1.3701,0.2770,0.0286,-0.9911,0.1302,0.0008
1170,RightFinger2Distal,1.5180,1.3448,0.2838,-0.0233,0.8967,0.4416,-0.0165
1170,RightFinger2Tip,1.5187,1.3292,0.2634,-0.0233,0.8967,0.4416,-0.0165
1170,RightFinger3Metacarpal,1.5412,1.3062,0.2469,-0.1067,0.0414,0.9913,-0.0646
1170,RightFinger3Proximal,1.5352,1.3555,0.2422,-0.0025,0.6565,-0.7489,0.0904
1170,RightFinger3Medial,1.5294,1.3608,0.2851,0.0727,-0.9944,-0.0542,-0.0538
1170,RightFinger3Distal,1.5338,1.3325,0.2822,-0.0904,0.7826,0.6160,0.0023
1170,RightFinger3Tip,1.5378,1.3262,0.2554,-0.0904,0.7826,0.6160,0.0023
1170,RightFinger4Metacarpal,1.5510,1.3074,0.2490,-0.1099,0.0319,0.9932,0.0221
1170,RightFinger4Proximal,1.5534,1.3550,0.2463,0.0682,0.7113,-0.6736,0.1890
1170,RightFinger4Medial,1.5391,1.3516,0.2843,0.0824,-0.9796,-0.0105,-0.1832
1170,RightFinger4Distal,1.5435,1.3257,0.2845,-0.1624,0.8457,0.4944,0.1183
1170,RightFinger4Tip,1.5535,1.3139,0.2641,-0.1624,0.8457,0.4944,0.1183
1170,RightFinger5Metacarpal,1.5598,1.3063,0.2511,-0.1123,0.0222,0.9875,0.1085
1170,RightFinger5Proximal,1.5696,1.3499,0.2502,0.1125,0.6689,-0.6965,0.2340
1170,RightFinger5Medial,1.5539,1.3498,0.2792,0.0684,-0.9617,0.0879,-0.2505
1170,RightFinger5Distal,1.5557,1.3295,0.2834,-0.1753,0.8955,0.3614,0.1915
1170,RightFinger5Tip,1.5652,1.3152,0.2712,-0.1753,0.8955,0.3614,0.1915
1180,RightFinger1Metacarpal,1.5210,1.2975,0.2427,0.4161,-0.2037,0.8123,-0.3543
1180,RightFinger1Proximal,1.5061,1.3220,0.2657,-0.4552,0.2327,-0.8194,0.2593
