Frame,FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0,RightFinger1Metacarpal,2.0950,1.3153,0.0726,0.5610,-0.7011,0.4305,0.0923
0,RightFinger1Proximal,2.1269,1.3153,0.0910,0.6533,-0.6533,0.2706,0.2706
0,RightFinger1Distal,2.1548,1.3153,0.0910,0.6533,-0.6533,0.2706,0.2706
0,RightFinger1Tip,2.1867,1.3153,0.0910,0.6533,-0.6533,0.2706,0.2706
0,RightFinger2Metacarpal,2.1003,1.3153,0.0616,0.4545,-0.5417,0.5417,0.4545
0,RightFinger2Proximal,2.1507,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger2Medial,2.1932,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger2Distal,2.2194,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger2Tip,2.2450,1.3153,0.0705,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Metacarpal,2.1014,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Proximal,2.1512,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Medial,2.1949,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Distal,2.2237,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger3Tip,2.2516,1.3153,0.0518,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Metacarpal,2.1012,1.3153,0.0416,0.5417,-0.4545,0.4545,0.5417
0,RightFinger4Proximal,2.1482,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Medial,2.1890,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Distal,2.2153,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger4Tip,2.2409,1.3153,0.0333,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Metacarpal,2.0988,1.3153,0.0329,0.5792,-0.4056,0.4056,0.5792
0,RightFinger5Proximal,2.1409,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Medial,2.1739,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Distal,2.1946,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
0,RightFinger5Tip,2.2157,1.3153,0.0176,0.5000,-0.5000,0.5000,0.5000
10,RightFinger1Metacarpal,1.6999,1.2858,0.1438,0.6372,-0.3225,0.6976,-0.0573
10,RightFinger1Proximal,1.7121,1.3147,0.1630,-0.6908,0.3150,-0.5763,-0.3024
10,RightFinger1Distal,1.7339,1.3320,0.1615,0.6794,-0.2936,0.4837,0.4670
10,RightFinger1Tip,1.7611,1.3445,0.1503,0.6794,-0.2936,0.4837,0.4670
10,RightFinger2Metacarpal,1.7099,1.2909,0.1391,-0.2158,0.0112,-0.9732,0.0786
10,RightFinger2Proximal,1.7023,1.3414,0.1419,-0.2571,0.1166,-0.9462,-0.1584
10,RightFinger2Medial,1.7176,1.3807,0.1479,0.2359,-0.2309,0.9249,0.1885
10,RightFinger2Distal,1.7296,1.4022,0.1567,-0.2201,0.3038,-0.9036,-0.2066
10,RightFinger2Tip,1.7426,1.4209,0.1685,-0.2201,0.3038,-0.9036,-0.2066
10,RightFinger3Metacarpal,1.7188,1.2919,0.1349,0.2159,0.0076,0.9764,0.0066
10,RightFinger3Proximal,1.7193,1.3417,0.1340,-0.2482,0.1046,-0.9522,-0.1441
10,RightFinger3Medial,1.7335,1.3826,0.1396,0.2195,-0.2679,0.9197,0.1849
10,RightFinger3Distal,1.7467,1.4053,0.1515,-0.1971,0.3706,-0.8833,-0.2087
10,RightFinger3Tip,1.7611,1.4231,0.1674,-0.1971,0.3706,-0.8833,-0.2087
10,RightFinger4Metacarpal,1.7280,1.2915,0.1306,0.2144,0.0264,0.9721,0.0916
10,RightFinger4Proximal,1.7360,1.3383,0.1263,-0.2265,0.1226,-0.9602,-0.1083
10,RightFinger4Medial,1.7467,1.3770,0.1339,0.2137,-0.2238,0.9418,0.1317
10,RightFinger4Distal,1.7558,1.3997,0.1435,-0.2038,0.2900,-0.9235,-0.1465
10,RightFinger4Tip,1.7657,1.4199,0.1557,-0.2038,0.2900,-0.9235,-0.1465
10,RightFinger5Metacarpal,1.7359,1.2890,0.1270,0.2113,0.0450,0.9604,0.1760
10,RightFinger5Proximal,1.7502,1.3308,0.1198,-0.2130,0.1253,-0.9658,-0.0784
10,RightFinger5Medial,1.7569,1.3623,0.1267,0.2129,-0.1262,0.9657,0.0786
10,RightFinger5Distal,1.7612,1.3822,0.1311,-0.2128,0.1280,-0.9655,-0.0790
10,RightFinger5Tip,1.7656,1.4023,0.1356,-0.2128,0.1280,-0.9655,-0.0790
20,RightFinger1Metacarpal,1.7002,1.2856,0.1439,0.6370,-0.3273,0.6957,-0.0554
