FingerName,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
RightFinger1Metacarpal,0.02784889,0.2622201,0.001028917,-0.05008113,-0.3253367,-0.02967296,0.943805
RightFinger1Proximal,0.03370943,0.2353605,0.02952942,0.1047742,0.3237233,0.1428805,-0.9294145
RightFinger1Distal,0.03102866,0.2130087,0.04944348,-0.1189041,-0.3218354,-0.1728481,0.9232595
RightFinger1Tip,0.0258091,0.1871443,0.07141569,-0.1189017,-0.3218359,-0.1728473,0.9232597
RightFinger2Metacarpal,0.0160343,0.2565441,0.001029345,-0.3549967,-0.1337737,0.1263759,-0.9165761
RightFinger2Proximal,0.02559862,0.2023017,0.001029392,-0.09855465,-0.196018,0.2523597,-0.9424325
RightFinger2Medial,0.01716871,0.1621156,0.02127718,-0.2310917,0.2707614,-0.1696951,0.918961
RightFinger2Distal,0.01237351,0.1515298,0.04693393,0.4361736,-0.3025211,0.1029005,-0.841217
RightFinger2Tip,0.009205593,0.1535606,0.07427935,0.4361735,-0.3025213,0.1029007,-0.8412169
RightFinger3Metacarpal,0.005447522,0.2553256,0.00102909,0.3419869,0.1642054,-0.2057808,0.9020734
RightFinger3Proximal,0.005447202,0.201676,0.001029433,-0.06557699,-0.2091171,0.2520588,-0.9425691
RightFinger3Medial,-0.004006778,0.1621024,0.02455684,-0.3386967,0.2960136,-0.1401396,0.8820556
RightFinger3Distal,-0.008601836,0.1575448,0.05487362,0.5775621,-0.3237772,0.04930357,-0.7477703
RightFinger3Tip,-0.01003657,0.1699519,0.08213031,0.5775619,-0.3237772,0.04930366,-0.7477704
RightFinger4Metacarpal,-0.005475068,0.2555701,0.001029101,0.3263744,0.1933863,-0.2836173,0.8807063
RightFinger4Proximal,-0.01439702,0.2049724,0.00102917,-0.02020238,-0.2370845,0.1687384,-0.9565098
RightFinger4Medial,-0.01704826,0.170729,0.02837041,-0.2783006,0.2778066,-0.0866297,0.9153516
RightFinger4Distal,-0.01795859,0.1633346,0.05568454,0.463303,-0.2897709,0.02670997,-0.8370606
RightFinger4Tip,-0.01811099,0.1676057,0.08291595,0.463303,-0.2897709,0.02670998,-0.8370608
RightFinger5Metacarpal,-0.01487582,0.2581213,0.001028934,0.3082775,0.2210962,-0.3592963,0.852636
RightFinger5Proximal,-0.03135155,0.2128553,0.001028919,-0.01041531,-0.2497472,0.08286731,-0.9647031
RightFinger5Medial,-0.02766332,0.1865684,0.02463461,-0.1199917,0.2586505,-0.04837181,0.9572685
RightFinger5Distal,-0.02514834,0.1746586,0.04335308,0.2047856,-0.2619299,0.02513918,-0.942775
RightFinger5Tip,-0.02255597,0.1661282,0.06427656,0.2047856,-0.2619299,0.02513918,-0.942775
