Timestamp,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,RightFootGround,LeftFootGround,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
0.000000,0.786808,0.148493,0.188728,0.148493,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.033333,0.786808,0.148493,0.188728,0.148493,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.066667,0.786808,0.154703,0.196621,0.150222,0.190925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.385523,0.489984,1.156569,1.469951,1,1,-0.020677,-0.309199,0.093871,0.946128,-0.045156,0.957165,0.022902,0.285081,0.035423,-0.305580,-0.071074,0.948849,0.134055,0.945378,0.069991,0.288774,0.419493,0.343651,0.604739,0.583285,-0.259027,0.333677,-0.638773,0.643066,0.427000,-0.145380,0.890917,0.052952
0.100000,0.786808,0.324374,0.412265,0.313091,0.397925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.643693,0.818107,3.416715,4.342503,1,0,-0.030145,-0.023382,0.186900,0.981638,-0.036253,0.999095,0.022252,0.000694,-0.024085,-0.047356,-0.036800,0.997910,0.299754,0.953592,0.022497,-0.017427,0.612369,0.534523,0.421346,0.402190,-0.424359,0.478487,-0.555780,0.531111,0.656471,-0.175086,0.715088,0.164439
0.133333,0.786808,0.244800,0.311131,0.193473,0.245897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.254658,1.594618,7.653893,9.727779,1,0,-0.049550,-0.052710,0.117298,0.990458,-0.142013,0.988515,-0.022970,0.046289,-0.033382,-0.069311,-0.116749,0.990178,0.424745,0.904461,0.025647,0.029730,0.579572,0.532195,0.443044,0.429626,-0.424670,0.410566,-0.594899,0.545148,0.654729,-0.151977,0.721506,0.166323
0.166667,0.786808,0.147234,0.187128,0.011145,0.014165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.874464,2.382366,18.602140,23.642550,1,0,-0.056182,-0.054968,0.061842,0.994986,-0.244967,0.968622,-0.021022,0.036337,-0.039329,-0.073468,-0.139714,0.986679,0.352744,0.934207,0.004331,0.053014,0.515699,0.534891,0.461276,0.484944,-0.408511,0.350142,-0.621489,0.569448,0.636423,-0.154327,0.729075,0.198994
0.200000,0.786808,0.147035,0.186875,0.061428,0.078073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.545772,0.693654,39.881860,50.688180,1,0,-0.055470,-0.049633,0.044322,0.996241,-0.261853,0.964449,-0.020432,0.029235,-0.038996,-0.073301,-0.145530,0.985864,0.291758,0.954591,0.000533,0.060280,0.504454,0.530124,0.468099,0.495356,-0.400873,0.334356,-0.629744,0.575265,0.632945,-0.157273,0.729973,0.204415
0.233333,0.786808,0.184434,0.234408,0.139112,0.176806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551424,0.700837,1.004453,1.276618,1,0,-0.054051,-0.042986,0.027819,0.997225,-0.269386,0.962584,-0.020125,0.021427,-0.038075,-0.073077,-0.150025,0.985243,0.216972,0.974010,-0.000609,0.065018,0.495861,0.523812,0.475043,0.504061,-0.394052,0.323717,-0.634820,0.580460,0.629733,-0.162082,0.732104,0.202956
0.266667,0.786808,0.245449,0.311956,0.216914,0.275688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.524688,0.666857,0.944123,1.199941,1,0,-0.052220,-0.038132,0.013775,0.997812,-0.268765,0.962906,-0.019661,0.013842,-0.036154,-0.073241,-0.155139,0.984510,0.136166,0.988860,-0.000858,0.060125,0.489448,0.518401,0.483588,0.507783,-0.390627,0.317498,-0.635238,0.585730,0.626192,-0.166017,0.735788,0.197332
0.300000,0.786808,0.318787,0.405165,0.297149,0.377664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.541924,0.688762,0.967271,1.229361,1,0,-0.049542,-0.031437,0.001953,0.998275,-0.260623,0.965269,-0.018109,0.001601,-0.034150,-0.071409,-0.163232,0.983407,0.048726,0.997860,-0.004902,0.043318,0.483600,0.516286,0.490754,0.508666,-0.390833,0.312896,-0.632769,0.590720,0.621957,-0.170023,0.740207,0.190673
