Timestamp,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,RightFootGround,LeftFootGround,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
0.000000,0.786808,0.148493,0.188728,0.148493,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.033333,0.786808,0.148493,0.188728,0.148493,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.066667,0.786808,0.164036,0.208483,0.103083,0.131014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270599,0.343920,0.811796,1.031758,1,1,-0.011644,-0.293399,0.055098,0.954330,-0.039669,0.946054,-0.023715,0.320696,0.030066,-0.281475,-0.089267,0.954934,0.091978,0.931449,0.021996,0.351369,0.351692,0.359422,0.609832,0.612563,-0.276596,0.271943,-0.647955,0.655513,0.373774,-0.046280,0.926254,-0.014342
0.100000,0.786808,0.174598,0.221907,0.017856,0.022694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.478769,0.608496,2.134738,2.713164,1,1,0.010003,0.024623,0.050527,0.998369,-0.032329,0.998963,-0.019532,0.025433,0.001647,0.039047,-0.119817,0.992027,0.124189,0.988423,-0.014033,0.086025,0.536730,0.549659,0.447782,0.457479,-0.438417,0.431086,-0.555137,0.560160,0.609306,-0.099921,0.786546,-0.010437
0.133333,0.786808,0.174574,0.221876,0.018305,0.023265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069560,0.088408,13.859020,17.614240,1,1,0.010853,0.024703,0.050673,0.998351,-0.032669,0.999008,-0.018196,0.024184,0.002612,0.038697,-0.117811,0.992279,0.123359,0.988606,-0.013188,0.085245,0.538285,0.549661,0.447175,0.456243,-0.438585,0.433335,-0.553828,0.559589,0.614765,-0.115701,0.779858,-0.022348
0.166667,0.786808,0.174513,0.221799,0.018374,0.023352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032844,0.041743,2.021409,2.569127,1,1,0.010971,0.024811,0.050794,0.998341,-0.032793,0.999041,-0.017700,0.022986,0.002742,0.038656,-0.117223,0.992350,0.123006,0.988738,-0.013189,0.084221,0.538730,0.549558,0.447017,0.455997,-0.438411,0.434208,-0.553344,0.559527,0.614817,-0.116989,0.779581,-0.023841
0.200000,0.786808,0.174478,0.221755,0.018380,0.023360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022199,0.028215,0.727234,0.924284,1,1,0.011023,0.024897,0.050871,0.998334,-0.032863,0.999041,-0.017623,0.022973,0.002795,0.038651,-0.116903,0.992387,0.122764,0.988764,-0.013083,0.084288,0.538976,0.549479,0.446945,0.455871,-0.438283,0.434719,-0.553065,0.559506,0.614544,-0.116805,0.779818,-0.024011
0.233333,0.786808,0.174460,0.221732,0.018343,0.023313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012290,0.015620,0.530136,0.673781,1,1,0.011030,0.024890,0.050925,0.998331,-0.032914,0.999020,-0.017777,0.023678,0.002844,0.038575,-0.116683,0.992416,0.122547,0.988730,-0.012882,0.085029,0.539239,0.549325,0.447007,0.455685,-0.438152,0.435125,-0.552834,0.559522,0.613940,-0.115694,0.780479,-0.023358
0.266667,0.786808,0.174441,0.221707,0.018294,0.023251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014340,0.018226,0.103007,0.130918,1,1,0.011046,0.024911,0.050991,0.998327,-0.032975,0.998999,-0.017919,0.024357,0.002899,0.038508,-0.116406,0.992451,0.122273,0.988703,-0.012673,0.085760,0.539568,0.549132,0.447083,0.455453,-0.437983,0.435634,-0.552544,0.559544,0.613116,-0.114192,0.781374,-0.022439
0.300000,0.786808,0.174450,0.221719,0.018228,0.023166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018705,0.023773,0.359380,0.456757,1,1,0.011114,0.025196,0.051053,0.998316,-0.033035,0.999031,-0.017592,0.023165,0.002885,0.038702,-0.116123,0.992477,0.122010,0.988828,-0.012840,0.084669,0.539874,0.548940,0.447160,0.455246,-0.437785,0.436132,-0.552272,0.559579,0.611749,-0.111758,0.782846,-0.020640
