Timestamp,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,RightFootGround,LeftFootGround,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
0.000000,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.033333,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.066667,0.742825,0.136622,0.183923,0.070424,0.094806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.206759,0.278342,0.620277,0.835025,1,1,-0.010647,-0.276571,0.053208,0.959460,-0.056103,0.959785,-0.009048,0.274925,0.028439,-0.267625,-0.093516,0.958553,0.086881,0.955743,0.027675,0.279718,0.355252,0.365985,0.611219,0.605196,-0.282321,0.271982,-0.645060,0.655911,0.424366,0.003118,0.905242,-0.021015
0.100000,0.742825,0.134781,0.181445,0.003940,0.005304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350752,0.472187,1.802030,2.425915,1,1,0.000716,-0.030933,0.039482,0.998741,-0.046809,0.998494,0.004321,0.028304,0.000595,-0.019543,-0.120582,0.992511,0.112916,0.992826,0.001185,0.039308,0.501547,0.518127,0.489609,0.490182,-0.399455,0.382457,-0.583539,0.594680,0.592138,0.001712,0.804408,-0.047934
0.133333,0.742825,0.134534,0.181112,0.003590,0.004833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009603,0.012928,5.163612,6.951321,1,1,0.000806,-0.030210,0.038335,0.998808,-0.046707,0.998520,0.004609,0.027466,0.000579,-0.019239,-0.118815,0.992730,0.112119,0.992941,0.001392,0.038666,0.501112,0.519531,0.490280,0.488467,-0.401006,0.381684,-0.582090,0.595553,0.591162,-0.007582,0.805520,-0.040107
0.166667,0.742825,0.134523,0.181096,0.003546,0.004773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027300,0.036752,1.093479,1.472056,1,1,0.000957,-0.029723,0.037697,0.998847,-0.046470,0.998546,0.004793,0.026903,0.000670,-0.018983,-0.117848,0.992850,0.111758,0.993005,0.001534,0.038073,0.501115,0.520283,0.490172,0.487772,-0.401783,0.381667,-0.581559,0.595559,0.592664,-0.012641,0.804751,-0.031074
0.200000,0.742825,0.134521,0.181094,0.003603,0.004850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007703,0.010370,1.183798,1.593644,1,1,0.001018,-0.029622,0.037716,0.998849,-0.046471,0.998548,0.004852,0.026822,0.000712,-0.018930,-0.117725,0.992866,0.111740,0.993010,0.001589,0.037995,0.501272,0.520306,0.490057,0.487702,-0.401825,0.381884,-0.581515,0.595434,0.593332,-0.014192,0.804337,-0.028259
0.233333,0.742825,0.134519,0.181091,0.003660,0.004927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007883,0.010612,0.013881,0.018687,1,1,0.001081,-0.029520,0.037734,0.998851,-0.046474,0.998550,0.004912,0.026741,0.000755,-0.018875,-0.117595,0.992882,0.111720,0.993015,0.001646,0.037917,0.501437,0.520326,0.489938,0.487629,-0.401866,0.382111,-0.581471,0.595304,0.594017,-0.015787,0.803898,-0.025363
0.266667,0.742825,0.134516,0.181088,0.003681,0.004956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008106,0.010912,0.017180,0.023128,1,1,0.001141,-0.029448,0.037860,0.998849,-0.046594,0.998544,0.004961,0.026723,0.000795,-0.018838,-0.117520,0.992892,0.111698,0.993018,0.001703,0.037904,0.501701,0.520246,0.489805,0.487576,-0.401821,0.382468,-0.581445,0.595131,0.594822,-0.017361,0.803357,-0.022456
0.300000,0.742825,0.134514,0.181084,0.003704,0.004986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008554,0.011515,0.026745,0.036004,1,1,0.001205,-0.029369,0.037996,0.998845,-0.046725,0.998538,0.005013,0.026704,0.000839,-0.018798,-0.117436,0.992902,0.111674,0.993021,0.001764,0.037890,0.501991,0.520157,0.489659,0.487521,-0.401771,0.382861,-0.581417,0.594939,0.595694,-0.019057,0.802754,-0.019316
