Timestamp,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,RightFootGround,LeftFootGround,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
0.000000,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.033333,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.066667,0.742825,0.117973,0.158817,0.050639,0.068171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.223019,0.300231,0.669056,0.900692,1,1,-0.048726,-0.271957,0.063028,0.959006,-0.088778,0.953768,-0.044318,0.283693,-0.007636,-0.274870,-0.085032,0.957684,0.086017,0.946479,0.010894,0.310903,0.380884,0.391707,0.563115,0.619996,-0.322170,0.297653,-0.666208,0.603139,0.400626,-0.132231,0.905970,0.035116
0.100000,0.742825,0.106661,0.143588,0.013245,0.017831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.928537,1.250008,8.631597,11.619960,1,1,-0.029617,-0.010583,0.077863,0.996468,-0.074638,0.997201,-0.004496,-0.000330,-0.025791,-0.033278,-0.105828,0.993493,0.085884,0.995358,-0.005924,0.043025,0.532561,0.569006,0.390834,0.489756,-0.478352,0.426839,-0.583707,0.498272,0.528224,-0.191058,0.817922,0.124419
0.133333,0.742825,0.105420,0.141917,0.012417,0.016716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174343,0.234702,14.217550,19.139840,1,1,-0.026352,-0.002630,0.069412,0.997237,-0.062546,0.997978,0.000081,-0.011288,-0.023592,-0.029196,-0.108834,0.993351,0.089770,0.995318,-0.003536,0.035670,0.538474,0.569832,0.407594,0.468194,-0.478440,0.430052,-0.566991,0.514464,0.503181,-0.172468,0.843191,0.078057
0.166667,0.742825,0.105166,0.141576,0.012152,0.016359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.429879,0.578708,12.894560,17.358820,1,1,-0.024711,-0.000007,0.064628,0.997604,-0.054501,0.998320,0.003282,-0.019414,-0.021658,-0.028836,-0.113494,0.992884,0.093585,0.995167,-0.002539,0.029634,0.533774,0.570035,0.423674,0.458963,-0.475013,0.424870,-0.557148,0.532386,0.454993,-0.144903,0.878279,0.024710
0.200000,0.742825,0.105244,0.141681,0.012063,0.016240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.118106,0.158996,15.093710,20.319340,1,1,-0.024122,0.000874,0.063588,0.997684,-0.052321,0.998406,0.003958,-0.020777,-0.021195,-0.028338,-0.115156,0.992717,0.094548,0.995107,-0.002193,0.028605,0.531924,0.569691,0.428810,0.456763,-0.473813,0.422433,-0.555215,0.537390,0.435387,-0.135032,0.890023,0.007994
0.233333,0.742825,0.105261,0.141703,0.011972,0.016116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195374,0.263015,5.952442,8.013252,1,1,-0.023489,0.001721,0.062327,0.997778,-0.050060,0.998492,0.004687,-0.022038,-0.020733,-0.027770,-0.116712,0.992561,0.095468,0.995047,-0.001787,0.027656,0.530009,0.569145,0.434150,0.454620,-0.472348,0.419711,-0.553482,0.542575,0.413823,-0.124952,0.901697,-0.008991
0.266667,0.742825,0.105142,0.141543,0.011951,0.016088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099740,0.134271,6.133865,8.257486,1,1,-0.023099,0.002325,0.061384,0.997844,-0.048639,0.998542,0.005190,-0.022818,-0.020512,-0.027200,-0.117594,0.992477,0.096003,0.995013,-0.001496,0.027042,0.528956,0.568640,0.437375,0.453385,-0.471226,0.417897,-0.552673,0.545767,0.399582,-0.118554,0.908805,-0.018776
0.300000,0.742825,0.104993,0.141343,0.011906,0.016028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109941,0.148004,0.607436,0.817738,1,1,-0.022627,0.002936,0.060161,0.997928,-0.046938,0.998601,0.005796,-0.023646,-0.020224,-0.026619,-0.118547,0.992386,0.096627,0.994968,-0.001128,0.026475,0.527652,0.567980,0.441273,0.451952,-0.469790,0.415659,-0.551747,0.549638,0.382151,-0.111127,0.916884,-0.030605
