Timestamp,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,RightFootGround,LeftFootGround,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
0.000000,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.033333,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.066667,0.742825,0.126588,0.170415,0.055826,0.075154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.473898,0.637967,1.421693,1.913901,1,1,-0.015203,-0.280131,0.042182,0.958914,-0.056177,0.966524,-0.002668,0.250337,0.023809,-0.270852,-0.104952,0.956587,0.088272,0.970246,0.024960,0.224072,0.348792,0.358068,0.605858,0.618925,-0.277773,0.271717,-0.650538,0.652544,0.221152,-0.016013,0.974774,-0.025520
0.100000,0.742825,0.120909,0.162769,0.015080,0.020301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.287645,0.387231,0.859035,1.156444,1,1,-0.006390,-0.040082,0.023029,0.998911,-0.045861,0.998682,0.019998,-0.011505,-0.005868,-0.026542,-0.136133,0.990318,0.113533,0.992006,0.001417,-0.055077,0.490271,0.511284,0.482817,0.514889,-0.396081,0.377167,-0.596366,0.587548,0.279513,-0.027830,0.959545,-0.019265
0.133333,0.742825,0.120610,0.162366,0.015987,0.021522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047977,0.064587,3.136200,4.221993,1,1,-0.006494,-0.035681,0.025578,0.999015,-0.050005,0.998397,0.020553,-0.016778,-0.006670,-0.025395,-0.132606,0.990821,0.112675,0.991968,0.000538,-0.057475,0.493059,0.515987,0.475125,0.514692,-0.401896,0.378434,-0.597796,0.581298,0.267027,-0.024541,0.963259,-0.015053
0.166667,0.742825,0.120677,0.162458,0.015975,0.021506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244601,0.329284,28.010890,37.708610,1,1,-0.006638,-0.034535,0.027051,0.999015,-0.051476,0.998289,0.020574,-0.018635,-0.007041,-0.024945,-0.131543,0.990971,0.112151,0.991939,-0.000106,-0.058989,0.493641,0.517583,0.473487,0.514040,-0.403578,0.378219,-0.598318,0.579734,0.270647,-0.021410,0.962406,-0.008179
0.200000,0.742825,0.120674,0.162453,0.015976,0.021507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012650,0.017030,25.824090,34.764720,1,1,-0.006668,-0.034550,0.027113,0.999013,-0.051546,0.998283,0.020574,-0.018723,-0.007056,-0.024970,-0.131481,0.990979,0.112112,0.991937,-0.000142,-0.059089,0.493661,0.517680,0.473392,0.514012,-0.403654,0.378200,-0.598347,0.579664,0.270866,-0.021249,0.962352,-0.007702
0.233333,0.742825,0.120670,0.162447,0.015973,0.021504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008271,0.011134,0.255074,0.343384,1,1,-0.006707,-0.034582,0.027194,0.999010,-0.051637,0.998277,0.020572,-0.018823,-0.007113,-0.025309,-0.131402,0.990981,0.112063,0.991936,-0.000187,-0.059205,0.493680,0.517796,0.473277,0.513981,-0.403743,0.378168,-0.598389,0.579580,0.271132,-0.021043,0.962286,-0.007094
0.266667,0.742825,0.120662,0.162436,0.015959,0.021484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016022,0.021569,0.465318,0.626417,1,1,-0.006782,-0.034687,0.027346,0.999001,-0.051813,0.998265,0.020569,-0.018971,-0.007128,-0.025352,-0.131246,0.991000,0.111966,0.991936,-0.000266,-0.059384,0.493697,0.517997,0.473080,0.513944,-0.403888,0.378080,-0.598485,0.579436,0.271599,-0.020649,0.962171,-0.005932
0.300000,0.742825,0.120700,0.162488,0.015943,0.021463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014883,0.020036,0.100862,0.135781,1,1,-0.006862,-0.034852,0.027479,0.998991,-0.051988,0.998255,0.020530,-0.019077,-0.007130,-0.025462,-0.131055,0.991023,0.111840,0.991942,-0.000365,-0.059519,0.493760,0.518137,0.472945,0.513866,-0.403946,0.377955,-0.598594,0.579365,0.272022,-0.020363,0.962063,-0.005003
