Timestamp,LegLength,StepLength,StepLengthRatio,StrideWidth,StrideWidthRatio,StrideLengthRight,StrideLengthRightRatio,StrideTimeRight,StrideLengthLeft,StrideLengthLeftRatio,StrideTimeLeft,Velocity,VelocityRatio,Acceleration,AccelerationRatio,RightFootGround,LeftFootGround,RightThighRotationX,RightThighRotationY,RightThighRotationZ,RightThighRotationW,LeftThighRotationX,LeftThighRotationY,LeftThighRotationZ,LeftThighRotationW,RightShinRotationX,RightShinRotationY,RightShinRotationZ,RightShinRotationW,LeftShinRotationX,LeftShinRotationY,LeftShinRotationZ,LeftShinRotationW,RightShoulderRotationX,RightShoulderRotationY,RightShoulderRotationZ,RightShoulderRotationW,LeftShoulderRotationX,LeftShoulderRotationY,LeftShoulderRotationZ,LeftShoulderRotationW,HeadRotationX,HeadRotationY,HeadRotationZ,HeadRotationW
0.000000,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.033333,0.742825,0.140192,0.188728,0.140192,0.188728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.000000,-0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,0.707107,0.000000,-0.707107,0.000000,0.707107,-0.000001,0.707107,0.000001,0.707107,0.000001,0.000000,0.707107,0.707107,0.000000,0.000000,0.707107,-0.707107,0.000000,0.000000,1.000000,0.000000
0.066667,0.742825,0.134561,0.181148,0.090475,0.121798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325839,0.438648,0.977516,1.315944,1,1,-0.006030,-0.318544,0.062273,0.945841,-0.061077,0.940526,-0.005719,0.334138,0.032176,-0.292513,-0.074538,0.952809,0.075021,0.937143,0.037408,0.338726,0.314672,0.333756,0.634070,0.622531,-0.246642,0.219543,-0.667693,0.667200,0.157837,-0.006346,0.986245,-0.048668
0.100000,0.742825,0.130451,0.175615,0.025117,0.033812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331542,0.446326,0.122665,0.165133,1,1,0.015057,-0.024656,0.054410,0.998101,-0.052103,0.997232,0.014865,0.050910,0.006451,0.019899,-0.100978,0.994669,0.102691,0.992763,0.013375,0.060808,0.485450,0.517079,0.503635,0.493274,-0.397682,0.344554,-0.601114,0.601492,0.257724,-0.024651,0.963609,-0.066555
0.133333,0.742825,0.130097,0.175138,0.025609,0.034475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023965,0.032261,4.058375,5.463437,1,1,0.014745,-0.028438,0.054758,0.997986,-0.051676,0.997149,0.015310,0.052804,0.007019,0.017513,-0.098667,0.994942,0.099148,0.993096,0.013916,0.061135,0.483484,0.515779,0.507347,0.492763,-0.395499,0.342341,-0.600517,0.604784,0.256035,-0.022212,0.963722,-0.072064
0.166667,0.742825,0.130359,0.175491,0.025925,0.034900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037628,0.050656,0.482305,0.649285,1,1,0.014624,-0.029723,0.055713,0.997897,-0.052308,0.997067,0.015095,0.053791,0.006988,0.016896,-0.097756,0.995043,0.097766,0.993219,0.013733,0.061404,0.483313,0.514387,0.508495,0.493202,-0.393754,0.342442,-0.600575,0.605807,0.256254,-0.021728,0.963468,-0.074777
0.200000,0.742825,0.130561,0.175763,0.026060,0.035082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014502,0.019522,0.732186,0.985678,1,1,0.014518,-0.030238,0.056089,0.997862,-0.052560,0.997034,0.014880,0.054206,0.006895,0.016404,-0.097503,0.995076,0.097332,0.993257,0.013536,0.061520,0.483384,0.513719,0.508853,0.493459,-0.392938,0.342675,-0.600640,0.606140,0.256595,-0.021831,0.963364,-0.074922
0.233333,0.742825,0.130716,0.175972,0.026157,0.035213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011593,0.015607,0.109831,0.147855,1,1,0.014388,-0.030733,0.056396,0.997832,-0.052737,0.997009,0.014678,0.054559,0.006813,0.016039,-0.097337,0.995099,0.096962,0.993291,0.013352,0.061596,0.483525,0.513081,0.509220,0.493606,-0.392257,0.342843,-0.600797,0.606331,0.257004,-0.022026,0.963301,-0.074268
0.266667,0.742825,0.130786,0.176066,0.026207,0.035280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012242,0.016481,0.023945,0.032235,1,1,0.014283,-0.031199,0.056716,0.997801,-0.052917,0.996983,0.014553,0.054892,0.006767,0.015851,-0.097178,0.995118,0.096534,0.993331,0.013248,0.061644,0.483694,0.512508,0.509653,0.493589,-0.391669,0.342957,-0.600925,0.606519,0.257515,-0.022602,0.963265,-0.072777
0.300000,0.742825,0.130754,0.176022,0.026199,0.035270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011122,0.014973,0.044450,0.059839,1,1,0.014201,-0.031581,0.056950,0.997776,-0.053040,0.996960,0.014500,0.055196,0.006729,0.015780,-0.097066,0.995130,0.096127,0.993348,0.013184,0.062017,0.483824,0.512109,0.510094,0.493420,-0.391235,0.342979,-0.600972,0.606741,0.258091,-0.023632,0.963251,-0.070551
